sample;annotation
йоугрт для чесноком;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
Дуриду ярдом солью;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 18, 'O')]
сосиски из банке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
мата мафлау лиеша;[(0, 4, 'O'), (5, 11, 'O'), (12, 17, 'O')]
кабачфи без шашлыка;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
Хелуду рядом;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
шако мса;[(0, 4, 'O'), (5, 8, 'O')]
макароны с собаки;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
нериду нелулу;[(0, 6, 'O'), (7, 13, 'O')]
соль фермерский для вей;[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE'), (16, 19, 'O'), (20, 23, 'O')]
гречка с солью;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
шабе;[(0, 4, 'O')]
Таил тебе аджике;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 16, 'O')]
хлопьт;[(0, 6, 'B-TYPE')]
чан грудка;[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
рис в собаки;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 12, 'O')]
ракира;[(0, 6, 'O')]
Литохе нвоы;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
салаты детский из собак;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O')]
риы;[(0, 3, 'B-TYPE')]
Лихена акция тебе;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 17, 'O')]
кетчуп грудка для банке;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 17, 'O'), (18, 23, 'O')]
Навизо тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
шаурма спагетти из собк;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 18, 'O'), (19, 23, 'O')]
акбачки из глютна;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
Кото тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
шатато нали;[(0, 6, 'O'), (7, 11, 'O')]
колбас нарезка с баке;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 16, 'O'), (17, 21, 'O')]
иВвиса акция;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
тодуне;[(0, 6, 'O')]
каачки по пкетах кошек;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O'), (17, 22, 'O')]
сосиски для тебе чесноком;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O'), (17, 25, 'O')]
рин;[(0, 3, 'O')]
вода из солью;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
Вира новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
ъыр с кошек;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]
шаули толибе бефа;[(0, 5, 'O'), (6, 12, 'O'), (13, 17, 'O')]
булоки на вкусм;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
рашако думоне санам;[(0, 6, 'O'), (7, 13, 'O'), (14, 19, 'O')]
курица спагетти на глютена глтан;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 18, 'O'), (19, 26, 'O'), (27, 32, 'O')]
курица из отрубями;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 18, 'O')]
рис для децей;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
жидкость в собаки;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
кетчуп по банек;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
кофе в пакетах чсенокою;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O'), (15, 23, 'O')]
творожки по перцем;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
рарави;[(0, 6, 'O')]
сыш по осьлю;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O')]
вода на всей;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 12, 'O')]
жидкост столвый в солью;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 23, 'O')]
шаурма на семье;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
чав с семье;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]
намора ата таша;[(0, 6, 'O'), (7, 10, 'O'), (11, 15, 'O')]
кабачки для солью;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
сыр рамен без пагетах;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 13, 'O'), (14, 21, 'O')]
вода по изюмом;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
ото азо колири;[(0, 3, 'O'), (4, 7, 'O'), (8, 14, 'O')]
дуви;[(0, 4, 'O')]
слаты на завтарк чесноком;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O'), (17, 25, 'O')]
салаты фермерский в коешк семье;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 19, 'O'), (20, 25, 'O'), (26, 31, 'O')]
печенье на пакетах;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
ъай рамен для тебе;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 13, 'O'), (14, 18, 'O')]
кабачки;[(0, 7, 'B-TYPE')]
жидкость для вкусом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
енлу тата дуса;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
булочки рамен без джике;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 23, 'O')]
курица без собак шалыка;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O'), (17, 23, 'O')]
Шакофа акця;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
курица;[(0, 6, 'B-TYPE')]
жидкость для глютена;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
вода ебдро по кошек;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 13, 'O'), (14, 19, 'O')]
пюре фил по пакетах есмье;[(0, 4, 'B-TYPE'), (5, 8, 'I-TYPE'), (9, 11, 'O'), (12, 19, 'O'), (20, 25, 'O')]
тане снтса зотх;[(0, 4, 'O'), (5, 10, 'O'), (11, 15, 'O')]
сосиски из кошек;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
эели ракори бмои;[(0, 4, 'O'), (5, 11, 'O'), (12, 16, 'O')]
обе лишато вита;[(0, 3, 'O'), (4, 10, 'O'), (11, 15, 'O')]
творожи по банке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
накову;[(0, 6, 'O')]
кабачки из глютеан;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
Рато тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
курица на отрубями всей;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 18, 'O'), (19, 23, 'O')]
помидор с завтрфк;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
чай без собак;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
творожки фермреский на всей;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 22, 'O'), (23, 27, 'O')]
ралира рисахе;[(0, 6, 'O'), (7, 13, 'O')]
Нехе сейчас солщю;[(0, 4, 'B-BRAND'), (5, 11, 'O'), (12, 17, 'O')]
онезо дури;[(0, 5, 'O'), (6, 10, 'O')]
пюре без вкусом;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
перловка для тебе шашлтка;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O'), (18, 25, 'O')]
Дубмеа новый глютена;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 20, 'O')]
вода фермерский по отрубями;[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE'), (16, 18, 'O'), (19, 27, 'O')]
вода из щерцем глютна;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O'), (15, 21, 'O')]
мофата фари конаса;[(0, 6, 'O'), (7, 11, 'O'), (12, 18, 'O')]
Лилуви сечас;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
кофе в весй;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
номидор в всей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 14, 'O')]
жбдкость для банке;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
творожки в шшшлыка;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]
салаты из собак абнке;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 21, 'O')]
щеви;[(0, 4, 'O')]
дури;[(0, 4, 'O')]
сыр по пакетах;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
Фаду тебе кошек;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 15, 'O')]
чай бедро;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
перловка для вкусом;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
кубачки по вкусом;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
салаты ьлие для оошек;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
Талира онвй;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
Ратави рядом;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
перловка фил по кошек;[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE'), (13, 15, 'O'), (16, 21, 'O')]
лапша для сбак собаки;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O'), (15, 21, 'O')]
помидор в теба;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 14, 'O')]
Бето акция;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
мука в иджике бнке;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
вода на бакне;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
Римата рядом паектах;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 20, 'O')]
печенье с собак собак;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O'), (16, 21, 'O')]
печенье по собк;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
пюре на вдусом;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
салаты бедро без завтрак;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 16, 'O'), (17, 24, 'O')]
буочки на пакевах;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
отоша дуфа;[(0, 5, 'O'), (6, 10, 'O')]
творожки;[(0, 8, 'B-TYPE')]
пюре по отрубяи собаки;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O'), (16, 22, 'O')]
булочки по вксуом;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
вода для банке;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
бенехе;[(0, 6, 'O')]
перловка на завтрак кшоек;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 19, 'O'), (20, 25, 'O')]
пюре грудка;[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
тозо сал;[(0, 4, 'O'), (5, 8, 'O')]
рис на завтрак;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
жидкость без етдей;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
колив рари;[(0, 5, 'O'), (6, 10, 'O')]
колбаса по отжубями;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 19, 'O')]
зоса малили;[(0, 4, 'O'), (5, 11, 'O')]
видута;[(0, 6, 'O')]
луша луви;[(0, 4, 'O'), (5, 9, 'O')]
уголь с тебе;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 12, 'O')]
шаурма рамен без отрубями собаки;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 16, 'O'), (17, 25, 'O'), (26, 32, 'O')]
Кмоо сейчас отрубями;[(0, 4, 'B-BRAND'), (5, 11, 'O'), (12, 20, 'O')]
Котоли сшчас;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
рис с тебе;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O')]
опмидор в шашлыка;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
оккилу;[(0, 6, 'O')]
коф на аджикн;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
кирима кофаки;[(0, 6, 'O'), (7, 13, 'O')]
опмидот без отрубяки;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
курица нарезка по солью;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O')]
печенье из йанке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
сыр;[(0, 3, 'B-TYPE')]
шаурма без вксуом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
лик;[(0, 3, 'O')]
уголь без солью;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 15, 'O')]
сато шалу мпви;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
сазо;[(0, 4, 'O')]
пюре без чесноком;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 17, 'O')]
бема маша фасана;[(0, 4, 'O'), (5, 9, 'O'), (10, 16, 'O')]
мука без ебе;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]
кабачки нарезка по шашлыка зиюмом;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 26, 'O'), (27, 33, 'O')]
рис для перцем;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 14, 'O')]
зошали вифа зтора;[(0, 6, 'O'), (7, 11, 'O'), (12, 17, 'O')]
уголь из банке;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 14, 'O')]
гречка в собак;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
дай грудка из чесноком;[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE'), (11, 13, 'O'), (14, 22, 'O')]
кетчдп рамен для вкусом;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 16, 'O'), (17, 23, 'O')]
Шахе рядум есноком;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 18, 'O')]
сосиски на кошек пакетах;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O'), (17, 24, 'O')]
кетчуп в кошек отрубми;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O'), (15, 22, 'O')]
макяроны батон с аджике;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 16, 'O'), (17, 23, 'O')]
жидкость;[(0, 8, 'B-TYPE')]
булочки сотлвйы с детей аджике;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 17, 'O'), (18, 23, 'O'), (24, 30, 'O')]
гречка для завтрак;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]
перловка столовый;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
Кона тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
лапша для перцем;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
жавихе лисёки зодхеу;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
Мабене сечйас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
рчс по сопью ебе;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O'), (13, 16, 'O')]
амас;[(0, 4, 'O')]
колбаса на шашлкыа;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
ошако фамофа лухеил;[(0, 5, 'O'), (6, 12, 'O'), (13, 19, 'O')]
макарноы на собаки;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O')]
салаты без собак;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
лруа;[(0, 4, 'O')]
пефловка в детей;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
сошь с тебе;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 11, 'O')]
Хета сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
нерири;[(0, 6, 'O')]
творожки нарезка на семье перцем;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 19, 'O'), (20, 25, 'O'), (26, 32, 'O')]
Мона рядом;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
еченье;[(0, 6, 'B-TYPE')]
уогхь;[(0, 5, 'B-TYPE')]
курвца для изюмом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
макароны фермерский из перцем собак;[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 22, 'O'), (23, 29, 'O'), (30, 35, 'O')]
булочи по семье;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
мука по собак;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
буолчки;[(0, 7, 'B-TYPE')]
пюре с аджике семье;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O'), (14, 19, 'O')]
мука в перцем;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
убочки в кошек;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
пюре с семье глютена;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O'), (13, 20, 'O')]
кофе на чесноком завтрак;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 16, 'O'), (17, 24, 'O')]
рис в сей;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 9, 'O')]
Коко акци прцем;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 15, 'O')]
хлопья на перцем;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
колбаса с аджике;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
ливк ралибе хемоф;[(0, 4, 'O'), (5, 11, 'O'), (12, 17, 'O')]
мука на глютена;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O')]
Мки сейчас;[(0, 3, 'B-BRAND'), (4, 10, 'O')]
кетчуп из изюмоп;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
салаты из собаки;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
тоне юане;[(0, 4, 'O'), (5, 9, 'O')]
винат дунене саду;[(0, 5, 'O'), (6, 12, 'O'), (13, 17, 'O')]
жидкость детский по всей;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 19, 'O'), (20, 24, 'O')]
клобаса;[(0, 7, 'B-TYPE')]
риша саи;[(0, 4, 'O'), (5, 8, 'O')]
булочки;[(0, 7, 'B-TYPE')]
лунмеа;[(0, 6, 'O')]
чай с дажике;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 12, 'O')]
кетчуп из есмье;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
колбаса арезка на кошек;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O')]
беюе немо арвито;[(0, 4, 'O'), (5, 9, 'O'), (10, 16, 'O')]
жидкость батн из перем;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O')]
печенье без глютена;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
Вишато сейчас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
хенари;[(0, 6, 'O')]
йогурц без автрак;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
тонави томо;[(0, 6, 'O'), (7, 11, 'O')]
кохеша;[(0, 6, 'O')]
идкость из тебе;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
жидкость детский по деьйе банке;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 19, 'O'), (20, 25, 'O'), (26, 31, 'O')]
кетчуп без перцем;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
кито;[(0, 4, 'O')]
вода на отрубями;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 16, 'O')]
чай бедро с вкусом завтрак;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 11, 'O'), (12, 18, 'O'), (19, 26, 'O')]
Неко новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
кетчуп в отрубями;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O')]
тобехе такикб мкоо;[(0, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
беко думо адуша;[(0, 4, 'O'), (5, 9, 'O'), (10, 15, 'O')]
иРто новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
Мораша акция детей;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 18, 'O')]
обаачки по солью;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
лабачки без вкусом;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
чай без пакеатх;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 15, 'O')]
шаду;[(0, 4, 'O')]
макатоны фрмерский на шашлыка шашлыка;[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE'), (19, 21, 'O'), (22, 29, 'O'), (30, 37, 'O')]
воба столовый из собау;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 16, 'O'), (17, 22, 'O')]
макароны без тебе;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O')]
пюер для шашлыка кошек;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 16, 'O'), (17, 22, 'O')]
чай без шашылка;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 15, 'O')]
чеченье нареза для банек;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 18, 'O'), (19, 24, 'O')]
шаурма из семье;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
шаурма столовый в перцем;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 17, 'O'), (18, 24, 'O')]
сана;[(0, 4, 'O')]
ыыр феил с собка отрубями;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 10, 'O'), (11, 16, 'O'), (17, 25, 'O')]
печенье на шашлыка;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
рафа ндаумо;[(0, 4, 'O'), (5, 11, 'O')]
сосиски в чеснокм;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
улнаша рамазо;[(0, 6, 'O'), (7, 13, 'O')]
шаурма без вкссом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
Ликолу акиця;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
соль с собаки;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
соль из аджике;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
тошахе манеко беот;[(0, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
Дуто рядом тееб;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 15, 'O')]
макароны бато;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
пюре с пакетах;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
рука для аджике тебе;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O'), (16, 20, 'O')]
кетчуп по шашлыка;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O')]
жидкость псагетти в пярцем;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 19, 'O'), (20, 26, 'O')]
Тазо новый всев;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 15, 'O')]
пюре варезка без завтрак;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 16, 'O'), (17, 24, 'O')]
чай из тебе;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 11, 'O')]
фато;[(0, 4, 'O')]
йогурт по шджике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
помидор по ебе тебе;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 14, 'O'), (15, 19, 'O')]
умка из етбе;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 12, 'O')]
сосиски для шашлка;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
йогурт с перцем;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
хлопьм по шашлыка собйки;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O'), (18, 24, 'O')]
уголь без завтрак;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
кофе бвтн;[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]
кофе из собаки;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
угроь без перцем тебе;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O'), (17, 21, 'O')]
кабачки без чесноом;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]
хлопья без тебе;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]
хехе рамо фамо;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
хлоъья на аджике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
мокифа ранебе еко;[(0, 6, 'O'), (7, 13, 'O'), (14, 17, 'O')]
юабачки;[(0, 7, 'B-TYPE')]
жидкость для бнке;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O')]
равизо мата;[(0, 6, 'O'), (7, 11, 'O')]
булокчи без перцем;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O')]
пюре батон на пакетах;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 13, 'O'), (14, 21, 'O')]
соль в перцем;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
кеи акция банек;[(0, 3, 'B-BRAND'), (4, 9, 'O'), (10, 15, 'O')]
лиса;[(0, 4, 'O')]
пюер детский на вкусом аджике;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 15, 'O'), (16, 22, 'O'), (23, 29, 'O')]
